ZipCode,RMSE
23878,959.7159520677783
20602,963.3583737834155
63025,963.7898336894247
19801,967.4993439211535
30101,968.5062614338564
05759,970.7514566399485
17015,972.0452106209368
22946,972.0916357035244
72901,972.4933740807993
73501,976.9743446787267
30809,977.3965597280683
22847,978.4846558502682
23847,978.9139949746598
27350,979.202143710914
74075,979.8699755935592
38034,981.2761558390304
30735,982.0076783998294
80247,989.0189858189611
74066,992.072120882056
40601,993.5216206372096
49007,996.9244377490389
32358,999.6370319976439
55368,1000.0436839237314
22485,1004.8852316974059
05201,1005.0075896948056
72046,1008.2577224083028
34994,1010.4646918697423
23837,1013.1458850597751
05468,1015.3741930891497
74011,1016.4429222567844
74347,1023.5215992997505
27050,1032.6842080531233
40050,1033.875243507058
03220,1036.8668723415217
28078,1039.9444759398737
05261,1041.1096934982652
35111,1043.6271162562382
35444,1045.436933475715
73109,1048.8945609922912
73127,1049.0623875999845
71857,1051.3846287240028
17407,1051.476412306621
38473,1056.8536654438856
72923,1057.9269637367588
03766,1061.5105050618774
08088,1063.822189225054
27360,1065.1547619564985
21655,1066.8929492584746
73446,1067.3603802602013
74037,1071.505923797557
72950,1074.0311815483403
19047,1076.3665014357196
72386,1077.7865992855536
28083,1078.7813649304417
41014,1081.1766112407042
49030,1083.6787051316699
32725,1087.905210037265
28129,1090.4332237263193
32763,1090.5493902437142
32024,1091.398746744645
80906,1094.5752197968504
37148,1096.1498435799185
97078,1098.0951803799392
27509,1099.5473172697464
60139,1101.793109869469
97124,1106.0033163714038
53063,1106.1372078498296
50320,1106.641251932484
35006,1108.02530741478
73132,1108.0806646907752
17318,1108.4886723770478
49093,1110.1187702626512
72956,1110.7139262134299
02874,1114.4624842236965
19372,1120.5991829789739
74026,1121.7926308536562
74856,1122.2053856789378
37754,1123.3156103516778
30263,1123.7876118392667
97140,1124.1468646093933
45036,1125.098145485881
60148,1126.6472544094606
21045,1128.601573948065
73010,1128.6353121345282
18942,1129.130747669522
17401,1131.4200909794863
66609,1131.600758383574
03827,1137.5900589572148
74135,1140.1503119178465
32696,1142.938330895302
03818,1143.021719258845
49094,1143.800666861118
25442,1145.2073455972843
37601,1148.4135787952684
32218,1149.954136252892
04282,1154.6192412253868
73548,1156.8176109133356
63074,1158.3346487088174
32038,1159.5684931760727
28635,1174.282362366281
23457,1179.413967512407
17361,1179.4544671421493
42171,1179.6681676553026
73537,1180.1345496890783
66604,1182.6052959996346
73045,1191.485925315559
20886,1192.0241454297052
40007,1193.2113976313494
43078,1197.7278749242598
40403,1198.8447574262552
63143,1199.6904685744391
72436,1199.8459582283854
29625,1200.3499200572983
50161,1200.8987088427818
12822,1201.4051531198738
72601,1202.115945107439
74110,1202.128044805814
72773,1203.741190040432
63034,1204.185683754312
55301,1204.4668168972069
08052,1205.4063605096103
72042,1207.7414781855175
34229,1207.7788586432725
73004,1208.6373022428168
37604,1208.8012755500995
72472,1211.3072232503653
55961,1212.1390510284723
32244,1212.206045802606
32317,1212.7670292865332
79416,1213.6770247638276
28092,1219.350856369238
66615,1219.6650322293542
24054,1219.8850879100676
23234,1221.3125255256782
30265,1224.946283524801
72921,1225.416154179255
05769,1225.969814539129
55360,1231.1446260110988
